Step,Inventory,Demand,Action,Reward
1,32,18,2,116.0
2,14,10,2,152.0
3,4,27,2,92.0
4,0,23,2,-305.0
5,0,18,2,-345.0
6,2,29,2,176.0
7,0,29,2,115.0
8,0,23,2,65.0
9,0,25,2,155.0
10,0,13,2,125.0
11,7,29,2,116.0
12,0,30,2,240.0
13,0,21,2,50.0
14,0,27,2,185.0
15,0,25,2,95.0
16,0,12,2,125.0
17,8,26,2,104.0
18,2,27,2,256.0
19,0,25,2,145.0
20,0,27,2,125.0
21,0,29,2,95.0
22,0,20,2,65.0
23,0,16,2,200.0
24,4,20,2,152.0
25,4,13,2,192.0
26,11,29,2,108.0
27,2,12,2,286.0
28,10,21,2,100.0
29,9,17,2,192.0
30,12,14,2,146.0
31,18,13,2,104.0
32,25,30,2,80.0
33,15,30,2,270.0
34,5,25,2,290.0
35,0,25,2,250.0
36,0,15,2,125.0
37,5,25,2,140.0
38,0,16,2,250.0
39,4,10,2,152.0
40,14,15,2,72.0
41,19,26,2,112.0
42,13,19,2,234.0
43,14,21,2,162.0
44,13,14,2,184.0
45,19,30,2,102.0
46,9,27,2,282.0
47,2,20,2,266.0
48,2,17,2,196.0
49,5,18,2,160.0
50,7,11,2,166.0
51,16,18,2,78.0
52,18,30,2,144.0
53,8,25,2,284.0
54,3,21,2,244.0
55,2,19,2,206.0
56,3,23,2,184.0
57,0,28,2,230.0
58,0,17,2,80.0
59,3,11,2,164.0
60,12,11,2,86.0
61,21,27,2,68.0
62,14,30,2,242.0
63,4,17,2,292.0
64,7,20,2,156.0
65,7,12,2,186.0
66,15,25,2,90.0
67,10,11,2,230.0
68,19,16,2,72.0
69,23,10,2,114.0
70,33,18,2,34.0
71,35,15,2,110.0
72,40,13,2,70.0
73,47,23,2,36.0
74,44,12,2,142.0
75,52,28,2,16.0
76,44,19,2,192.0
77,45,20,2,100.0
78,45,28,2,110.0
79,37,25,2,206.0
80,32,18,2,186.0
81,34,13,2,112.0
82,41,15,2,48.0
83,46,15,2,58.0
84,51,14,2,48.0
85,57,29,2,26.0
86,48,26,2,194.0
87,42,17,2,176.0
88,45,18,2,80.0
89,47,13,2,86.0
90,54,14,2,22.0
91,60,13,2,20.0
92,67,30,2,-4.0
93,57,11,2,186.0
94,66,11,2,-22.0
95,75,30,2,-40.0
96,65,24,2,170.0
97,61,12,2,118.0
98,69,20,2,-18.0
99,69,30,2,62.0
100,59,30,2,182.0
