Step,Inventory,Demand,Action,Reward
1,51,14,1,188.0
2,67,14,1,6.0
3,53,29,0,34.0
4,54,20,1,182.0
5,34,22,0,132.0
6,42,22,1,136.0
7,50,16,1,120.0
8,34,16,0,92.0
9,48,27,1,64.0
10,51,22,1,168.0
11,29,17,0,162.0
12,42,24,1,86.0
13,48,30,1,144.0
14,48,26,1,204.0
15,52,14,1,156.0
16,68,21,1,4.0
17,47,15,0,116.0
18,62,15,1,26.0
19,77,25,1,-4.0
20,52,29,0,146.0
21,23,26,0,244.0
22,0,19,0,185.0
23,11,11,1,168.0
24,0,10,0,110.0
25,20,16,1,60.0
26,4,30,0,152.0
27,4,26,1,292.0
28,0,30,0,-290.0
29,0,14,1,300.0
30,0,19,0,-210.0
31,0,17,0,-285.0
32,0,16,0,-255.0
33,14,17,1,132.0
34,27,27,1,116.0
35,0,12,0,270.0
36,0,28,0,-180.0
37,0,17,0,-420.0
38,0,14,0,-255.0
39,0,11,0,-210.0
40,19,19,1,72.0
41,30,22,1,130.0
42,8,19,0,204.0
43,19,15,1,152.0
44,34,16,1,82.0
45,18,24,0,124.0
46,0,25,0,90.0
47,5,10,1,240.0
48,25,12,1,50.0
49,13,20,0,94.0
50,23,18,1,154.0
51,35,28,1,110.0
52,7,22,0,266.0
53,15,22,1,190.0
54,0,12,0,45.0
55,18,28,1,84.0
56,20,21,1,240.0
57,0,16,0,185.0
58,14,27,1,132.0
59,17,13,1,236.0
60,34,29,1,62.0
61,35,21,1,220.0
62,44,16,1,122.0
63,58,25,1,44.0
64,63,10,1,124.0
65,83,24,1,-66.0
66,89,24,1,62.0
67,65,11,0,110.0
68,84,19,1,-58.0
69,95,15,1,0.0
70,110,16,1,-70.0
71,124,19,1,-88.0
72,135,24,1,-80.0
73,141,11,1,-42.0
74,160,23,1,-210.0
75,167,14,1,-104.0
76,183,14,1,-226.0
77,199,14,1,-258.0
78,185,23,0,-230.0
79,192,27,1,-154.0
80,165,17,0,-60.0
81,178,30,1,-186.0
82,148,24,0,4.0
83,124,24,0,-8.0
84,130,13,1,-20.0
85,147,27,1,-164.0
86,120,30,0,30.0
87,120,15,1,60.0
88,135,21,1,-120.0
89,114,25,0,-18.0
90,119,28,1,12.0
91,121,12,1,38.0
92,139,14,1,-158.0
93,155,21,1,-170.0
94,164,29,1,-118.0
95,165,13,1,-40.0
96,182,27,1,-234.0
97,185,22,1,-100.0
98,163,12,0,-106.0
99,181,10,1,-242.0
